long;lat;nombre;nom_map;objeto;calle_nombre;calle_altura;calle_altura_1;dom_geo;telefono;guardia;fax;web;tipo;tipo_espec;mod_at_1;mod_at_2;depend_adm;director;dom_norma;calle_altura_2;calle_altura_3;barrio;comuna;codigo_postal;codigo_postal_argentino;camas_medicina;camas_cirugía;camas_pediatría;camas_tocoginecología;camas_urgencia;camas_otra;camas_totales
-58.44098824;-34.55389633;INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.);INST. DE REHAB. PSICOFISICA;HOSPITAL;ECHEVERRIA;955;ECHEVERRIA 955;955 ECHEVERRIA;4781-6071 al 74;4784-1225;478-30398;;Hospital especializado;MED. FISICA/REHABILITACION;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Silvina Ajolfi;ECHEVERRIA 955;955;ECHEVERRIA 955;Belgrano;Comuna 13;1428;C1428DQG;44.17534247;26.40547945;;;;;70.58082192
-58.40275063;-34.63485631;HOSPITAL MATERNO INFANTIL R. SARDA;HOSP. SARDA;HOSPITAL;ESTEBAN DE LUCA;2151;ESTEBAN DE LUCA 2151;2151 LUCA, ESTEBAN DE;4943-3567;4943-4250;494-34966;www.sarda.org.ar;Hospital especializado;MATERNO-INFANTIL;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Eduardo Valenti;LUCA, ESTEBAN DE 2151;2151;ESTEBAN DE LUCA 2151;Parque Patricios;Comuna 4;1246;C1246ABQ;;;149.890411;96.57260274;2.002739726;;248.4657534
-58.46018558;-34.60543428;HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE;HOSP. LAGLEYZE;HOSPITAL;JUAN B. JUSTO;4151;JUAN B. JUSTO 4151;4151 JUSTO, JUAN B. AV.;4582-1278 / 4581-7766 / 0645;4581-0645 / 7766 / 2792  4582-8235 / 1278 (int. 108);4582-1278;;Hospital especializado;OFTALMOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Fernando Scattini;JUSTO, JUAN B. AV. 4151;4151;JUAN B. JUSTO 4151;Villa Gral. Mitre;Comuna 11;1416;C1416DJI;;22;;;;;22
-58.42765975;-34.61463483;HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS;HOSP. ODONTOLOGICO DUEÑAS;HOSPITAL;MUÑIZ;15;MUÑIZ 15;15 MUÑIZ;4983-0392 / 4983-8983;4983-0392 / 4983-8983;4983-0688;;Hospital especializado;ODONTOLOGIA;AT. AMBULATORIA;DIAGNOSTICO;Ministerio de Salud GCBA;Dra. Ada Severino;MUÑIZ 15;15;MUÑIZ 15;Almagro;Comuna 5;1212;C1212AAA;;;;;;;
-58.43324844;-34.60705076;HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE;HOSP. CURIE;HOSPITAL;PATRICIAS ARGENTINAS;150;PATRICIAS ARGENTINAS 150;150  PATRICIAS ARGENTINAS AV.;4982-1731 / 1831;4982-1731 / 1831 / 5744;4982-3972;;Hospital especializado;ONCOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Alejandro Fernández;PATRICIAS ARGENTINAS AV. 150;150;PATRICIAS ARGENTINAS 150;Caballito;Comuna 6;1405;C1405BWO;49.88493151;24.01917808;;;;;73.90410959
-58.4323967;-34.6255032;HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA;HOSP. DE QUEMADOS A. U. ILLIA;HOSPITAL;PEDRO GOYENA;369;PEDRO GOYENA 369;369 GOYENA, PEDRO AV.;4923-3022;4923-4082 / 4923-3022;4925-3557;www.buenosaires.gov.ar/areas/salud/hospital_quemados/?menu_id=24263;Hospital especializado;QUEMADOS;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Armando Escobar;GOYENA, PEDRO AV. 369;369;PEDRO GOYENA 369;Caballito;Comuna 6;1424;C1424BSD;;32.05205479;18.0109589;;14.01917808;;64.08219178
-58.39406416;-34.62271251;HOSPITAL DE OFTALMOLOGIA SANTA LUCIA;HOSP. SANTA LUCIA;HOSPITAL;SAN JUAN AV. AV.;2021;SAN JUAN 2021;2021 SAN JUAN AV.;4127-3100 / 4941-5555;4941- 8081;4941-7077;www.hospitalsantalucia.com.ar;Hospital especializado;OFTALMOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Estela Fernández Rey;SAN JUAN AV. 2021;2021;SAN JUAN 2021;San Cristobal;Comuna 3;1232;C1232AAC;;37;;;3;;40
-58.50214492;-34.61798175;HOSPITAL DE REHABILITACION M. ROCCA;HOSP. DE REHAB. ROCCA;HOSPITAL;SEGUROLA;1949;SEGUROLA 1949;1949 SEGUROLA AV.;4630-4700 / 4800;4630-4741 / 4742;4566-4206;;Hospital especializado;MED. FISICA/REHABILITACION;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Cichero Carlos;SEGUROLA AV. 1949;1949;SEGUROLA 1949;Monte Castro;Comuna 10;1407;C1407AOM;70.7260274;5.939726027;;;;;76.66575342
-58.39372694;-34.63752933;HOSPITAL DE INFECCIOSAS F. MUÑIZ;HOSP. MUÑIZ;HOSPITAL;USPALLATA;2272;USPALLATA 2272;2272 USPALLATA;4304-2180 / 3380 / 4306-7855;4304-5555 / 4304-3380 / 2946 (int. 213);4304-2386;;Hospital especializado;INFECTOLOGIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. González Montaner Pablo;USPALLATA 2272;2272;USPALLATA 2272;Parque Patricios;Comuna 4;1282;C1282AEN;276.0849315;28.15068493;30.15616438;;13.10684932;;347.4986301
-58.47525885;-34.59720987;HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR;HOSP. T. DE ALVEAR;HOSPITAL;WARNES;2630;WARNES 2630;2630 WARNES AV.;4521-0273 / 0090 / 0983;4521-5555 / 5934;4521-2537;;Hospital especializado;SALUD MENTAL;AT. AMB./INTERNACION;DIAGNOSTICO;Ministerio de Salud GCBA;Dr. Marcelo Ernesto Lahitou;WARNES AV. 2630;2630;WARNES 2630;Paternal;Comuna 15;1427;C1427DPS;68.39726027;;;;16.72328767;;85.12054795
-58.40051346;-34.58476596;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;HOSP. RIVADAVIA;HOSPITAL;GENERAL LAS HERAS;2670;GENERAL LAS HERAS 2670;2670 LAS HERAS GENERAL AV.;4809-2000;4809-2002 / 2340;4802-2721;www.buenosaires.gov.ar/areas/salud/rivadavia;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Eduardo Fernández Rostello;LAS HERAS GENERAL AV. 2670;2670;GENERAL LAS HERAS 2670;Recoleta;Comuna 2;1425;C1425ASQ;78.95342466;96.23013699;49.11506849;42.1890411;7.542465753;;274.030137
-58.36598509;-34.62834486;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;HOSP. ARGERICH;HOSPITAL;PI Y MARGALL;750;CORBETA PI Y MARGAL 750;750 PI Y MARGALL;4121-0700 / 0800;4121-0683;4362-2621;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Néstor Hernández;PI Y MARGALL 750;750;CORBETA PI Y MARGAL 750;Boca;Comuna 4;1155;C1155AHD;66.39726027;158.3534247;82;37.03835616;48.49863014;;392.2876712
-58.40689391;-34.58114171;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;HOSP. FERNANDEZ;HOSPITAL;CERVIÑO;3356;CERVIÑO 3356;3356 CERVIÑO AV.;4808-2600;4808-5555 / 2600 / 2650 / 2640;4801-0932;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Previgliano Ignacio;CERVIÑO AV. 3356;3356;CERVIÑO 3356;Palermo;Comuna 14;1425;C1425AGP;91.07945205;120.739726;67.3369863;29.48767123;36.49041096;;345.1342466
-58.43798136;-34.60897285;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;HOSP. DURAND;HOSPITAL;DIAZ VELEZ;5044;DIAZ VELEZ 5044;5044 DIAZ VELEZ AV.;4982-5555 / 4982-5655 Conmutador 4982-1050 / 4981-2670;4982-1771 / 4982-5555 / 4981-2790;4982-2677;www.hospitaldurand.org.ar;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Bolla Horacio Alberto;DIAZ VELEZ AV. 5044;5044;DIAZ VELEZ 5044;Caballito;Comuna 6;1405;C1405DCS;94.49863014;29.07671233;67.55068493;42.23561644;43.29863014;;276.660274
-58.46950204;-34.62417049;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;HOSP. ALVAREZ;HOSPITAL;DOCTOR JUAN FELIPE ARANGUREN;2701;DOCTOR JUAN FELIPE ARANGUREN 2701;2701 ARANGUREN, JUAN F., DR.;4611-6666 / 4630-2900;4611-6666 (int. 2111 y 2948);4612-5073;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Laura Cordero;ARANGUREN, JUAN F., DR. 2701;2701;DOCTOR JUAN FELIPE ARANGUREN 2701;Flores;Comuna 7;1406;C1406FWY;100.1972603;58.32328767;52.40547945;28.30136986;19.1890411;;258.4164384
-58.40961075;-34.61765984;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;HOSP. RAMOS MEJIA;HOSPITAL;GENERAL URQUIZA;609;GENERAL URQUIZA 609;609 URQUIZA, GRAL.;4127-0200 / 300;4127-0400;4932-8858;www.hospitalramosmejia.info;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Hugo Pandullo;URQUIZA, GRAL. 609;609;GENERAL URQUIZA 609;Balvanera;Comuna 3;1221;C1221ADC;177.969863;135.1424658;49.58356164;23.92054795;24.68767123;;411.3041096
-58.47107816;-34.56505196;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;HOSP. PIROVANO;HOSPITAL;MONROE;3555;MONROE 3555;3555 MONROE AV.;4123-3100;4542-5552 / 2772 / 9279;4543-2199;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. José Antonio Cuba;MONROE AV. 3555;3555;MONROE 3555;Coghlan;Comuna 12;1430;C1430BKC;87.15616438;153.8520548;66.10958904;30.67123288;14.16164384;;351.9506849
-58.5110525;-34.59997952;HOSPITAL GENERAL DE AGUDOS A. ZUBIZARRETA;HOSP. ZUBIZARRETA;HOSPITAL;NUEVA YORK;3952;NUEVA YORK 3952;3952 NUEVA YORK;4501-5985 / 0683;4501-5555 / 0683 / 5985;4501-2604;www.zubizarreta.org.ar;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Lilia Borelli;NUEVA YORK 3952;3952;NUEVA YORK 3952;Villa Devoto;Comuna 11;1419;C1419HDN;5.410958904;;19.47945205;;36.44383562;51.8630137;113.1972603
-58.50761514;-34.6253368;HOSPITAL GENERAL DE AGUDOS D. VELEZ SARSFIELD;HOSP. VELEZ SARSFIELD;HOSPITAL;PEDRO CALDERON DE LA BARCA;1550;PEDRO CALDERON DE LA BARCA 1550;1550 CALDERON DE LA BARCA, PEDRO;4639-8700 al 05;4639-8700 (int. 342);4566-9590;www.hospitalvelez.org.ar;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dra. Virginia Lombardo;CALDERON DE LA BARCA, PEDRO 1550;1550;PEDRO CALDERON DE LA BARCA 1550;Monte Castro;Comuna 10;1407;C1407KQF;18.69589041;24.00821918;40.24657534;24.76712329;5.901369863;;113.6191781
-58.51562919;-34.64918673;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;HOSP. SANTOJANNI;HOSPITAL;PILAR;950;PILAR 950;950 PILAR;4630-5500 / 5509;4630-5673 / 5606 / 5536;4641-3359;www.hospitalsantojanni.gov.ar;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Federico Charabora;PILAR 950;950;PILAR 950;Liniers;Comuna 9;1408;C1408INH;87.60821918;92.39178082;114;60;28;;382
-58.41086022;-34.64311726;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;HOSP. PENNA;HOSPITAL;PEDRO CHUTRO;3380;PEDRO CHUTRO 3380;3380 CHUTRO, PEDRO, PROF., DR.;4912-1085;4911-5555 / 3030 (int. 230/268);4911-7222;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Gustavo San Martín;CHUTRO, PEDRO, PROF., DR. 3380;3380;PEDRO CHUTRO 3380;Parque Patricios;Comuna 4;1437;C1437IYP;48.41369863;59.87945205;94.12054795;68.10958904;41.12328767;;311.6465753
-58.47109763;-34.58739177;HOSPITAL GENERAL DE AGUDOS DR. E. TORNU;HOSP. TORNU;HOSPITAL;COMBATIENTES DE MALVINAS;3002;COMBATIENTES DE MALVINAS 3002;3002 COMBATIENTES DE MALVINAS AV.;4521-3600 / 1236 / 8700;4521-6666;4521-6677;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Luis Eduardo Castañiza;COMBATIENTES DE MALVINAS AV. 3002;3002;COMBATIENTES DE MALVINAS 3002;Parque Chas;Comuna 15;1431;C1431FTA;77.71780822;46;;;23.3260274;;147.0438356
-58.45411678;-34.64389407;HOSPITAL GENERAL DE AGUDOS P. PIÑERO;HOSP. PIÑERO;HOSPITAL;VARELA;1301;VARELA 1301;1301 VARELA AV.;4631-8100 / 0526;4631-8601;4632-8626;;Hospital de agudos;GRAL: BAS/CRIT/OTR;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Rivero Marino Daniel;VARELA AV. 1301;1301;VARELA 1301;Flores;Comuna 7;1406;C1406ELA;20;9.871232877;68.0109589;46.23835616;21.19178082;137.0027397;302.3150685
-58.45664285;-34.67184801;HOSPITAL CECILIA GRIERSON;HOSP. GRIERSON;HOSPITAL;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;4402;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402 4402;4402 FERNANDEZ DE LA CRUZ, F., GRAL.;4604-9000;;;;Hospital especializado;;;;Ministerio de Salud GCBA;Dr. Luis Giardino;FERNANDEZ DE LA CRUZ, F., GRAL. 4402;4402;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402 4402;Villa Soldati;Comuna 8;1439;C1439CNU;;;;;;;
-58.39187918;-34.62994536;HOSP. DE PEDIATRIA DR. J. GARRAHAN;HOSP. GARRAHAN;HOSPITAL;COMBATE DE LOS POZOS;1881;COMBATE DE LOS POZOS 1881;1881 COMBATE DE LOS POZOS;"4941-8772 / 4942-7475
";4941-8702;4941-8532;www.garrahan.gov.ar;Hospital de niños;PEDIATRIA;AT. AMB./INTERNACION;DIAG./TRATAM.;Ministerio de Salud GCBA;Dr. Luis Dal Bo;COMBATE DE LOS POZOS 1881;1881;COMBATE DE LOS POZOS 1881;Parque Patricios;Comuna 4;1245;C1245AAM;;;;;;;
-58.38142934;-34.6419888;TALLERES PROTEGIDOS DE REHABILITACION PSIQUIATRICA;TALLERES DE REHAB. PSIQUIATRICA;HOSPITAL;SUAREZ AV. AV.;2215;SUAREZ 2215;2215 SUAREZ AV.;4301-3961;;4302-9160;;Hospital especializado;SALUD MENTAL;AT. AMBULATORIA;DIAGNOSTICO;Ministerio de Salud GCBA;Dra. Graciela María Ana Russo;SUAREZ AV. 2215;2215;SUAREZ 2215;Barracas;Comuna 4;;;;;;;;;
